p_id,stimulus,count,difficulty,liking,GMS.general,gender,age,part
e11626ad019f1132ae717efb3813c011fcbfc600ff5072140d8dc514a931c2eb,part2_02.wav,45,4,4,4.44444444444444,female,47.8333333333333,PART2
1605c79629b2f2d236ffc526093b1b92641ed1b8b028489abd69abc11384a8c4,part2_02.wav,17,4,5,3.66666666666667,female,27.3333333333333,PART2
d58a2930184aec08a0734526656fdbff99085371fb28f9936df22d9c1355da38,part2_02.wav,6,5,6,4.05555555555556,female,59,PART2
1db774f09accaf70e434a1b37529024061da56dbe693363280d76290810dfa37,part2_02.wav,9,4,5,4.22222222222222,male,31.0833333333333,PART2
c51751fa32644cdbbf20cb3ccfea07dcdde5edaf57acd8a28eac0fe871e7ab20,part2_02.wav,22,4,6,5.05555555555556,female,24.1666666666667,PART2
35db37466f9b513466ad95b16df06231d72ceb5e2b51f1e86b429303bfc3532d,part2_02.wav,12,3,6,4,female,43,PART2
3c479a53488f1263898866a28f9d1c08e49de09d8cd25b92cd81017909fc9294,part2_02.wav,4,4,5,4.16666666666667,male,22.1666666666667,PART2
e46aef7d86374879161b455568c7f94a413e32be0ee70423345cc4bb4c38994c,part2_02.wav,23,4,6,5.61111111111111,male,49.9166666666667,PART2
c68167f9f8c650d6feac101c52ebb04bb62dc0ef2cc7aa94e0f00616ec00381a,part2_02.wav,11,4,3,6.05555555555556,female,30.5833333333333,PART2
b808e9141fa0030cddca18c8ad02b7fa187980a9ec1f418b6916f25bd176647d,part2_02.wav,27,4,4,4.5,male,34,PART2
e71e5adce339f77485479ee81388c3bee11e67920873df5c886fff2fc6a4ba4a,part2_02.wav,4,4,5,3.33333333333333,male,31.6666666666667,PART2
fe00f6a04f610eeda758e49a01647f8c5e5da42b0db93658491934a0d329d33a,part2_02.wav,20,5,5,5.66666666666667,female,22.1666666666667,PART2
20d6963bf49db7154c28ac110e866ab44e4f643e452649b3a3890c5152ec0223,part2_02.wav,14,5,4,4.38888888888889,female,20.9166666666667,PART2
5ea3a566c2ef122cc7f5dd075d01c4cd90237102de6e613060439de4fce87585,part2_02.wav,7,4,5,5.05555555555556,female,71.25,PART2
940ae07a4b67be64085226d069876302b618cfbb0f54be0c6ad8a020f4608726,part2_02.wav,28,6,5,4.05555555555556,female,27.6666666666667,PART2
7c783e9750ef5b8d9b328f08ac06336be95e1401f0e228135990f29a40e71d58,part2_02.wav,10,5,5,4.11111111111111,female,54.0833333333333,PART2
eb08729ee341ace2a17c8a3f6861b0715bffbb03dc5ea1f4e242334e7e697961,part2_02.wav,7,4,5,4.05555555555556,male,55.1666666666667,PART2
55a95784c466fbd59baffc436ff751ec930acc4a23a3d1ee0426af93c92de677,part2_02.wav,8,5,5,3.94444444444444,male,35.4166666666667,PART2
ab208afd8d34e9ff0742c9331ed21f2bab60bd503251e1512b3d65528124d156,part2_02.wav,30,4,4,4.38888888888889,female,27,PART2
fe040cfdb182f3c07db5c953e358b9a846108f0b7f101bb74ac7f1d8a15f0014,part2_02.wav,20,5,5,6.05555555555556,female,35,PART2
8e07d61aa11b8b2ff66a20835318e8ee9c13854a16a588dab8ec0aaa493527b9,part2_02.wav,18,5,5,3.11111111111111,female,48.4166666666667,PART2
63ebd6993ac13ca1efedb37239be6d1eca022af5155bcc08b7d7be04a495442c,part2_02.wav,32,5,4,3.94444444444444,male,20,PART2
256dfdfc6b11c073f50dad3b3635352b2a31c93b77ad4caa095488378443c9e7,part2_02.wav,11,3,4,5.05555555555556,male,27,PART2
80cf5d86d1d43967586bc0669cf07b26676993705902027a7401f6cc1a3c3814,part2_02.wav,15,5,4,6.33333333333333,female,27.8333333333333,PART2
404926c191ab2e352d3e1962c96f5b37a226a377fbaa38bd710142b9441fb7c8,part2_02.wav,25,4,5,4.72222222222222,male,27.5833333333333,PART2
e11e5ae8d1606144a0cb555278394d2895c3fb1d72aca9b2974bfe5a262df1e3,part2_02.wav,17,3,4,6,male,47.25,PART2
8e8307b537cb4ecf54c8a177bdfcb4f163a96d4e499f8231233cc0027be9ace7,part2_02.wav,16,4,6,5.11111111111111,male,33.4166666666667,PART2
