p_id,piece,marker,count,difficulty,liking,GMS.general,gender,age,language,d,m
OP34,2,73.269,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,88.179,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,88.193,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,110.578,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,131.194,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,198.114,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,232.265,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,254.097,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,267.514,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,289.226,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,314.425,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,354.588,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,422.413,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP39,2,27.856,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,32.888,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,37.917,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,47.367,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,55.461,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,60.663,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,65.1,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,69.138,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,76.32,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,86.005,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,93.311,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,105.211,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,111.092,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,115.775,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,118.644,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,125.628,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,130.689,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,138.222,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,150.855,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,159.244,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,174.979,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,182.534,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,197.604,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,207.747,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
